FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27
2018-01-01,UA,2404,RSW,ORD,1220,1213.0,-7.0,25.0,1238.0,1419.0,3.0,1430,1422.0,-8.0,0.0,0.0,0.0,190.0,189.0,161.0,1120.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2403,SFO,HNL,1927,1925.0,-2.0,15.0,1940.0,2243.0,7.0,2325,2250.0,-35.0,0.0,0.0,0.0,358.0,325.0,303.0,2398.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2402,JAC,EWR,1343,1351.0,8.0,38.0,1429.0,2003.0,10.0,1959,2013.0,14.0,0.0,0.0,0.0,256.0,262.0,214.0,1874.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2400,BOS,SFO,1820,1826.0,6.0,24.0,1850.0,2122.0,15.0,2148,2137.0,-11.0,0.0,0.0,0.0,388.0,371.0,332.0,2704.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2399,ORD,MIA,1405,1402.0,-3.0,18.0,1420.0,1757.0,9.0,1810,1806.0,-4.0,0.0,0.0,0.0,185.0,184.0,157.0,1197.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2398,MSY,EWR,2043,2131.0,48.0,10.0,2141.0,54.0,7.0,34,101.0,27.0,0.0,0.0,0.0,171.0,150.0,133.0,1167.0,27.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2397,MIA,IAH,900,859.0,-1.0,17.0,916.0,1048.0,6.0,1056,1054.0,-2.0,0.0,0.0,0.0,176.0,175.0,152.0,964.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2394,EWR,LAX,1500,1515.0,15.0,19.0,1534.0,1804.0,8.0,1820,1812.0,-8.0,0.0,0.0,0.0,380.0,357.0,330.0,2454.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2393,SEA,IAH,27,15.0,-12.0,15.0,30.0,601.0,11.0,644,612.0,-32.0,0.0,0.0,0.0,257.0,237.0,211.0,1874.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2392,SAT,IAH,730,729.0,-1.0,13.0,742.0,816.0,4.0,834,820.0,-14.0,0.0,0.0,0.0,64.0,51.0,34.0,191.0,0.0,0.0,0.0,0.0,0.0,
